ma_san_pham,ten_san_pham,avg_so_sao,total_positive,total_negative,most_popular_positive_word,most_popular_negative_word
345800013,Kem Chống Nắng Some By Mi Nâng Tông Da 50ml,3.909090909090909,11,5,tốt,tệ
345800015,"Serum Some By Mi Ốc Sên Phục Hồi Da, Mờ Thâm Sẹo 50ml",4.59375,37,6,tốt,không_hợp
345800027,Miếng Dán Mụn Some By Mi 18 Miếng,4.6,8,0,hiệu_quả,
345800028,"Kem Dưỡng Some By Mi Ốc Sên Phục Hồi Da, Mờ Thâm Sẹo 60g",4.5,4,0,tốt,
350900001,Xịt Khoáng Dr Her Paris Làm Dịu Da 150ml,5.0,0,0,,
351700026,Mặt Nạ Tẩy Tế Bào Chết Huxley Cho Da Mịn Màng Sạch Sâu 30g,4.777777777777778,10,2,tốt,chán
355500010,Mặt Nạ Avander Đất Sét Bùn Non Se Khít Lỗ Chân Lông 110g,3.857142857142857,9,1,thích,không_thích
355500011,Mặt Nạ Avander Đất Sét Trắng Se Khít Lỗ Chân Lông 110g,4.666666666666667,3,0,tốt,
357100004,Lotion Hatomugi Dưỡng Ẩm Và Làm Sáng Da 500ml,4.625,7,0,tốt,
357100008,Kem Dưỡng Hatomugi Cấp Ẩm & Làm Sáng Da 300g,4.416666666666667,9,1,ổn,không_hợp
357100011,"Sữa Rửa Mặt Hatomugi Ý Dĩ Hỗ Trợ Dưỡng Ẩm, Sáng Da 170g",3.5,3,2,chất_lượng,kém
